close_approach_time_TDB,designation,fullname,dist_au,dist_ld,v_rel_km_s,H_abs_mag,diam_km_nom,diam_km_min,diam_km_max,moid_au,close_<=0.05au,big_enough_H<=22,PHA_by_def
2025-Sep-18 07:42,2025 FA22,       (2025 FA22),0.005628343,2.19,10.78556964,21.65,0.166134934,0.124324001,0.277996916,0.00173,TRUE,TRUE,TRUE
2025-Sep-16 00:43,2025 RD2,       (2025 RD2),0.007506753,2.92,6.12304372,26.962,0.014390006,0.010768494,0.024079085,0.00565,TRUE,FALSE,FALSE
2025-Sep-16 19:39,2025 QK9,       (2025 QK9),0.010655254,4.15,8.408933153,24.179,0.051839519,0.038793144,0.086744107,0.00556,TRUE,FALSE,FALSE
2025-Sep-18 09:34,2025 RC2,       (2025 RC2),0.010818603,4.21,18.53523895,26.453,0.018191184,0.013613035,0.030439673,0.00413,TRUE,FALSE,FALSE
2025-Oct-09 00:26,2020 QU5,       (2020 QU5),0.018141643,7.06,13.63400131,25.68,0.025969343,0.019433677,0.043455022,0.0108,TRUE,FALSE,FALSE
2025-Oct-01 22:04,2025 QL23,       (2025 QL23),0.01827535,7.11,9.994973559,23.332,0.076570408,0.057300047,0.1281268,0.017,TRUE,FALSE,FALSE
2025-Sep-29 18:59,152664,152664 (1998 FW4),0.025753816,10.02,18.6064293,19.68,0.41158635,0.308003021,0.688715693,0.0151,TRUE,TRUE,TRUE
2025-Sep-23 22:07,2021 RN16,       (2021 RN16),0.025916883,10.09,8.812874608,28.41,0.007386879,0.005527834,0.012360612,0.00143,TRUE,FALSE,FALSE
2025-Sep-21 20:20,2025 PJ1,       (2025 PJ1),0.029711777,11.56,11.84897341,22.182,0.13003521,0.097309441,0.217590524,0.0265,TRUE,FALSE,FALSE
2025-Sep-23 17:40,2018 QT1,       (2018 QT1),0.033638105,13.09,12.6521429,22.05,0.138185019,0.1034082,0.231227764,0.0329,TRUE,FALSE,FALSE
2025-Oct-02 21:39,2020 GE1,       (2020 GE1),0.03513776,13.67,4.672631835,27.1,0.013503954,0.010105434,0.022596438,0.0129,TRUE,FALSE,FALSE
2025-Sep-23 01:38,2022 SW12,       (2022 SW12),0.038384324,14.94,17.62417304,21.14,0.21011689,0.157237082,0.351592805,0.0345,TRUE,TRUE,TRUE
2025-Oct-08 08:43,2022 TU1,       (2022 TU1),0.043175964,16.8,12.90513116,27.79,0.009827905,0.007354531,0.016445231,0.00245,TRUE,FALSE,FALSE
2025-Sep-14 00:06,2025 QV6,       (2025 QV6),0.046351989,18.04,6.859477777,24.763,0.039615119,0.02964524,0.066288773,0.0467,TRUE,FALSE,FALSE
2025-Sep-14 01:35,2025 QR1,       (2025 QR1),0.050447654,19.63,8.747214283,21.805,0.154689545,0.115759056,0.258845118,0.0216,FALSE,TRUE,TRUE
2025-Sep-28 08:21,2019 SF6,       (2019 SF6),0.051172179,19.91,8.444040159,26.26,0.019882041,0.014878357,0.033269018,0.015,FALSE,FALSE,FALSE
2025-Oct-03 23:05,2021 SY3,       (2021 SY3),0.052024416,20.25,5.929400885,27,0.014140376,0.010581689,0.023661375,0.000119,FALSE,FALSE,FALSE
2025-Sep-29 12:02,2025 OD13,       (2025 OD13),0.052402554,20.39,10.39697433,22.091,0.135600398,0.101474046,0.226902865,0.0526,FALSE,FALSE,FALSE
2025-Oct-03 03:41,2024 TW,       (2024 TW),0.053368055,20.77,11.83517367,28.95,0.00576051,0.004310771,0.009639178,0.00666,FALSE,FALSE,FALSE
2025-Oct-01 15:13,2019 SG4,       (2019 SG4),0.055704386,21.68,13.44052394,24.79,0.039125596,0.029278915,0.065469644,0.0312,FALSE,FALSE,FALSE
2025-Sep-20 18:52,2022 LK1,       (2022 LK1),0.058907036,22.93,13.77794786,23.18,0.082122273,0.061454682,0.137416847,0.00309,FALSE,FALSE,FALSE
2025-Sep-14 05:28,2025 QD2,       (2025 QD2),0.060911402,23.71,5.644632051,25.448,0.028897546,0.021624943,0.048354843,0.0554,FALSE,FALSE,FALSE
2025-Oct-06 23:49,2024 TL5,       (2024 TL5),0.061726164,24.02,5.397406381,27.59,0.010776084,0.008064083,0.018031837,0.0128,FALSE,FALSE,FALSE
2025-Sep-18 19:02,2010 WU8,       (2010 WU8),0.062318596,24.25,6.98166905,24.2,0.051340603,0.038419789,0.08590926,0.0373,FALSE,FALSE,FALSE
2025-Sep-28 09:23,2025 NO,       (2025 NO),0.066989091,26.07,7.351385878,20.46,0.287382927,0.21505769,0.480883614,0.0603,FALSE,TRUE,FALSE
2025-Sep-23 01:37,2008 TD2,       (2008 TD2),0.068958963,26.84,7.016648997,21.94,0.145365372,0.108781483,0.243242791,0.0402,FALSE,TRUE,TRUE
2025-Sep-25 03:39,350523,350523 (2000 EA14),0.070527705,27.45,4.427725204,21.16,0.208190526,0.155795524,0.348369383,0.0433,FALSE,TRUE,TRUE
2025-Sep-19 08:43,2023 SA3,       (2023 SA3),0.071126322,27.68,14.48140593,23.61,0.067369134,0.050414443,0.112730122,0.028,FALSE,FALSE,FALSE
2025-Oct-06 06:08,2021 ED5,       (2021 ED5),0.072845298,28.35,22.18152703,20.16,0.329959748,0.246919266,0.552128263,0.0112,FALSE,TRUE,TRUE
2025-Sep-25 07:32,2005 UQ,       (2005 UQ),0.073364985,28.55,8.284116413,24,0.056293851,0.042126461,0.094197631,0.0422,FALSE,FALSE,FALSE
2025-Oct-09 11:09,2025 MJ2,       (2025 MJ2),0.073389363,28.56,12.75100199,21.55,0.173964632,0.13018321,0.291098508,0.056,FALSE,TRUE,FALSE
2025-Sep-26 13:09,2018 SE2,       (2018 SE2),0.075295693,29.3,12.68483354,24.7,0.04078129,0.030517923,0.068240151,0.0135,FALSE,FALSE,FALSE
2025-Sep-14 20:51,2023 SP2,       (2023 SP2),0.075507049,29.39,3.357982686,28.23,0.008025294,0.00600558,0.013428886,0.00785,FALSE,FALSE,FALSE
2025-Sep-14 06:57,2025 RJ,       (2025 RJ),0.075908671,29.54,11.73183031,24.334,0.048268184,0.036120602,0.080768121,0.0667,FALSE,FALSE,FALSE
2025-Sep-23 03:15,2021 TZ2,       (2021 TZ2),0.07598189,29.57,10.39003863,24.75,0.039852995,0.029823251,0.066686815,0.0346,FALSE,FALSE,FALSE
2025-Sep-20 02:53,2021 TV2,       (2021 TV2),0.076468964,29.76,9.503494857,24.06,0.054759688,0.040978398,0.091630484,0.0604,FALSE,FALSE,FALSE
2025-Sep-25 07:13,2011 EO40,       (2011 EO40),0.077243559,30.06,12.16704134,21.71,0.161607296,0.120935826,0.270420729,0.048,FALSE,TRUE,TRUE
2025-Sep-25 11:32,2025 QA4,       (2025 QA4),0.077808361,30.28,11.03442202,21.969,0.143436924,0.107338365,0.240015881,0.0113,FALSE,TRUE,TRUE
2025-Oct-13 18:43,2008 TA4,       (2008 TA4),0.080037487,31.15,8.145032242,25.1,0.0339204,0.025383703,0.056759685,0.0132,FALSE,FALSE,FALSE
2025-Oct-01 13:01,2023 XU10,       (2023 XU10),0.080630483,31.38,8.30118561,27.66,0.010434243,0.007808273,0.017459829,0.014,FALSE,FALSE,FALSE
2025-Sep-26 10:40,2024 UP27,       (2024 UP27),0.080771655,31.43,13.92314207,25.2,0.03239373,0.024241248,0.054205079,0.0101,FALSE,FALSE,FALSE
2025-Oct-01 04:39,2006 SS134,       (2006 SS134),0.081249549,31.62,18.96530443,21.48,0.179663958,0.134448195,0.300635304,0.0295,FALSE,TRUE,TRUE
2025-Oct-03 16:11,2025 QK10,       (2025 QK10),0.084040531,32.71,11.89063551,24.166,0.052150799,0.039026084,0.087264977,0.0317,FALSE,FALSE,FALSE
2025-Oct-13 21:32,2018 EW1,       (2018 EW1),0.085436753,33.25,9.825887229,26.3,0.019519153,0.014606796,0.03266179,0.0139,FALSE,FALSE,FALSE
2025-Sep-20 03:50,2015 FU117,       (2015 FU117),0.086902098,33.82,6.609631059,24.43,0.046180748,0.034558507,0.077275172,0.0425,FALSE,FALSE,FALSE
2025-Sep-27 00:13,2022 TA41,       (2022 TA41),0.087293218,33.97,17.14916026,29.27,0.004971197,0.003720103,0.008318403,0.00458,FALSE,FALSE,FALSE
2025-Sep-19 07:03,2025 RS,       (2025 RS),0.08867058,34.51,18.13757764,23.429,0.073225267,0.054796772,0.122529307,0.0199,FALSE,FALSE,FALSE
2025-Oct-01 11:00,2015 TT238,       (2015 TT238),0.09180494,35.73,7.165273952,24.6,0.042703253,0.031956189,0.07145621,0.0253,FALSE,FALSE,FALSE
2025-Sep-21 05:11,2025 QT4,       (2025 QT4),0.093756494,36.49,7.046726326,24.824,0.038517755,0.028824048,0.064452531,0.0919,FALSE,FALSE,FALSE
2025-Sep-22 05:29,2024 TL10,       (2024 TL10),0.096580103,37.59,4.06890617,24.71,0.040593917,0.030377706,0.067926616,0.0582,FALSE,FALSE,FALSE
2025-Oct-06 21:14,477719,477719 (2010 SG15),0.097777762,38.05,5.16135229,25.26,0.031510911,0.023580607,0.05272784,0.0915,FALSE,FALSE,FALSE
2025-Sep-16 21:39,2025 QP13,       (2025 QP13),0.099873843,38.87,12.89813744,23.375,0.075069057,0.056176539,0.125614559,0.0868,FALSE,FALSE,FALSE
2025-Oct-07 00:47,2022 TD,       (2022 TD),0.10063208,39.16,7.407555282,27.73,0.010103247,0.007560578,0.016905966,0.00252,FALSE,FALSE,FALSE
2025-Sep-17 04:01,2019 QU2,       (2019 QU2),0.101600121,39.54,19.77696204,22.21,0.128369238,0.096062741,0.21480282,0.0962,FALSE,FALSE,FALSE
2025-Sep-28 20:54,2022 SU55,       (2022 SU55),0.101750559,39.6,9.763239028,25.38,0.029816795,0.022312846,0.049893041,0.0744,FALSE,FALSE,FALSE
2025-Oct-10 22:30,2022 SM10,       (2022 SM10),0.103680959,40.35,6.508189829,24.36,0.047693694,0.035690693,0.079806815,0.0853,FALSE,FALSE,FALSE
2025-Sep-29 12:34,2022 SL11,       (2022 SL11),0.104044095,40.49,12.68892562,24.98,0.035847672,0.026825942,0.059984629,0.0993,FALSE,FALSE,FALSE
2025-Oct-09 05:45,2021 QE2,       (2021 QE2),0.107474135,41.83,9.744234805,24.49,0.044922194,0.033616692,0.075169209,0.00687,FALSE,FALSE,FALSE
2025-Oct-03 16:41,2022 QG41,       (2022 QG41),0.108303577,42.15,11.95421293,22.01,0.14075407,0.105330702,0.235526609,0.0266,FALSE,FALSE,FALSE
2025-Sep-15 16:05,2009 SG18,       (2009 SG18),0.114116311,44.41,34.33347285,17.85,0.95600676,0.715409951,1.599705282,0.025,FALSE,TRUE,TRUE
2025-Oct-11 15:58,2024 JH,       (2024 JH),0.114918802,44.72,7.565739758,25.63,0.026574247,0.019886345,0.04446722,0.0265,FALSE,FALSE,FALSE
2025-Oct-13 07:04,2025 OM5,       (2025 OM5),0.115057983,44.78,6.938704706,20.75,0.251455398,0.188171989,0.42076536,0.115,FALSE,TRUE,FALSE
2025-Sep-14 18:23,2025 QD12,       (2025 QD12),0.116019655,45.15,7.970928886,24.291,0.049233529,0.036842999,0.082383451,0.113,FALSE,FALSE,FALSE
