close_approach_time_TDB,designation,fullname,dist_au,dist_ld,v_rel_km_s,H_abs_mag,diam_km_nom,diam_km_min,diam_km_max,moid_au,close_<=0.05au,big_enough_H<=22,PHA_by_def
2025-Sep-18 07:42,2025 FA22,       (2025 FA22),0.0056283425056364,2.19,10.7855696373971,21.65,0.16613493393809828,0.12432400055413725,0.27799691647377245,0.00173,True,True,True
2025-Sep-16 00:43,2025 RD2,       (2025 RD2),0.0075067525482186,2.92,6.12304371957705,26.962,0.014390005605214463,0.010768494153693825,0.02407908494296846,0.00565,True,False,False
2025-Sep-29 18:59,152664,152664 (1998 FW4),0.0257538155718752,10.02,18.6064293019839,19.68,0.4115863498816935,0.3080030212660326,0.6887156928261622,0.0151,True,True,True
2025-Sep-23 01:38,2022 SW12,       (2022 SW12),0.0383843236494907,14.94,17.6241730408656,21.14,0.2101168895362316,0.15723708236384107,0.35159280474928195,0.0345,True,True,True
2025-Sep-14 01:35,2025 QR1,       (2025 QR1),0.0504476540013183,19.63,8.74721428269325,21.805,0.15468954538009114,0.11575905602562418,0.2588451182845023,0.0216,False,True,True
2025-Sep-23 01:37,2008 TD2,       (2008 TD2),0.0689589631880094,26.84,7.01664899721925,21.94,0.14536537169431799,0.10878148335623691,0.24324279147780772,0.0402,False,True,True
2025-Sep-25 03:39,350523,350523 (2000 EA14),0.0705277047271863,27.45,4.42772520398707,21.16,0.20819052631400295,0.15579552412782877,0.34836938254003375,0.0433,False,True,True
2025-Oct-06 06:08,2021 ED5,       (2021 ED5),0.0728452984332313,28.35,22.1815270318701,20.16,0.3299597478899597,0.24691926560610708,0.5521282628495813,0.0112,False,True,True
2025-Sep-25 07:13,2011 EO40,       (2011 EO40),0.0772435588573126,30.06,12.1670413440229,21.71,0.16160729576065444,0.12093582638788276,0.2704207287184187,0.048,False,True,True
2025-Sep-25 11:32,2025 QA4,       (2025 QA4),0.0778083612856351,30.28,11.0344220179006,21.969,0.14343692396041607,0.1073383652145246,0.2400158812133758,0.0113,False,True,True
2025-Oct-01 04:39,2006 SS134,       (2006 SS134),0.0812495489083529,31.62,18.9653044314653,21.48,0.17966395805729946,0.13444819516042764,0.30063530383087445,0.0295,False,True,True
2025-Sep-15 16:05,2009 SG18,       (2009 SG18),0.11411631050159,44.41,34.3334728457222,17.85,0.9560067597485193,0.7154099508837737,1.599705281955904,0.025,False,True,True
2025-Sep-26 23:30,358471,358471 (2007 NS4),0.124965227657731,48.63,12.2958974525862,19.15,0.5253647901659982,0.39314700957510984,0.8791034385607064,0.0386,False,True,True
2025-Sep-22 03:48,2006 KN89,       (2006 KN89),0.143605875059489,55.89,10.2070600614342,21.5,0.17801678898904683,0.13321556669812903,0.2978790627981737,0.024,False,True,True
2025-Sep-28 02:31,2011 DV,       (2011 DV),0.148159883918612,57.66,6.1112915120698,20.79,0.24686581976761787,0.1847374636151024,0.413085526634263,0.00189,False,True,True
2025-Sep-20 16:56,2016 UJ31,       (2016 UJ31),0.151310415263034,58.89,17.8559165526223,19.44,0.45968566747101414,0.343997254657406,0.769201245487266,0.0122,False,True,True
2025-Sep-14 21:14,2025 FR5,       (2025 FR5),0.154236917484553,60.02,13.0985113585112,20.55,0.2757153612316718,0.2063264835999061,0.46136004288788557,0.0286,False,True,True
2025-Sep-21 17:07,385605,385605 (2005 EJ225),0.181284865970967,70.55,21.907553272468,18.99,0.5655369210796347,0.42320907965020144,0.9463242707929733,0.0174,False,True,True
